cycle_id,size,weight,id,harvested_at,status
17437,77.0,447.62,13521.0,2022-10-03,
17437,77.0,64.58,13522.0,2022-10-03,
17437,79.0,643.42,13884.0,2022-10-15,Full
17437,77.0,447.62,13948.0,2022-10-03,Partial
17437,79.0,38.2,13949.0,2022-10-15,Full
17437,58.0,33.68,13950.0,2022-10-15,Full
17437,58.0,571.54,13959.0,2022-10-15,Full
17437,77.0,64.58,14097.0,2022-10-03,Partial
17437,58.0,571.54,14109.0,2022-10-15,Full
17437,79.0,38.2,14110.0,2022-10-15,Full
17437,79.0,33.68,14111.0,2022-10-15,
17437,58.0,571.74,14498.0,2022-10-15,
17437,79.0,38.2,14499.0,2022-10-15,
17437,58.0,33.68,14500.0,2022-10-15,Full
21019,158.36,737.01,12075.0,2022-07-23,Full
21019,158.36,9.58,12076.0,2022-07-23,Full
17882,210.0,240.0,19619.0,2023-07-11,Full
16961,230.0,42.0,10259.0,2021-02-23,Partial
16961,185.0,153.0,10260.0,2021-03-06,Full
16626,450.0,95.0,17592.0,2023-04-26,Full
9104,88.0,72.0,10937.0,2022-06-02,Full
16666,138.0,1.0,5473.0,2021-06-11,Partial
16666,138.0,256.85,5474.0,2021-06-11,Partial
16666,92.83,508.47,5984.0,2021-06-27,Partial
16666,92.83,0.66,5985.0,2021-06-27,Partial
16666,71.0,611.23,6048.0,2021-07-09,Partial
16666,71.0,4.69,6049.0,2021-07-09,Partial
16666,54.276,2306.2,6429.0,2021-07-30,Full
16666,54.276,0.0,6430.0,2021-07-30,Full
15511,304.0,262.46,11312.0,2022-06-30,Full
9097,250.0,97.54,9031.0,2021-11-27,Partial
9097,210.0,89.39,9032.0,2021-12-07,Partial
9097,136.0,85.53,9033.0,2022-01-05,Full
17832,140.0,70.0,13124.0,2022-09-13,Full
14437,20.4,3759.0,15837.0,2023-01-18,Full
21023,88.0,8555.0,18671.0,2023-04-02,Full
20742,60.2,1549.31,15486.0,2023-01-02,Full
20742,150.0,80.11,15487.0,2023-01-02,Full
20742,60.2,15.0,15489.0,2023-01-02,Full
20742,60.2,127.0,15495.0,2023-01-02,Full
19685,51.08,166.18,15291.0,2022-12-21,Full
16331,300.0,17.0,11588.0,2022-06-23,Full
17639,57.0,488.11,10119.0,2022-04-06,Partial
17639,42.0,13.5,10343.0,2022-04-23,Partial
17639,42.0,743.7,10463.0,2022-04-23,Partial
17639,42.0,31.0,10464.0,2022-04-23,Partial
17639,57.0,27.65,10477.0,2022-04-06,Partial
17639,30.0,1888.9,10609.0,2022-05-09,Full
17639,50.0,55.15,10610.0,2022-05-09,Full
17639,30.0,12.0,10611.0,2022-05-09,Full
17639,30.0,11.0,10613.0,2022-05-09,Full
15493,350.0,110.0,17134.0,2023-04-04,Full
19303,17.5,3078.0,14947.0,2022-12-08,Full
18827,153.0,15.0,19643.0,2023-07-02,Full
19471,96.0,3000.0,18415.0,2023-06-04,Full
15789,190.0,300.0,11383.0,2022-06-21,Full
15789,190.0,288.71,12603.0,2022-06-21,Full
15789,200.0,90.0,12604.0,2022-06-21,Full
