cycle_id,sampled_at,average_weight
20390,2023-04-18,9.0
20390,2023-04-28,15.5
20390,2023-05-08,19.0
20390,2023-05-19,24.5
20390,2023-05-27,26.5
20390,2023-06-04,32.5
16803,2022-12-01,6.8
16803,2022-12-11,9.17
16803,2022-12-21,14.38
16803,2022-12-31,18.75
16803,2023-01-10,22.78
18732,2022-05-24,4.5
18732,2022-05-28,6.77
18732,2022-06-04,9.65
18732,2022-05-14,2.4
18732,2022-05-21,4.59
18732,2022-06-11,12.2
18732,2022-06-25,16.32
18732,2022-07-16,21.8
18325,2021-04-20,23.26
16330,2022-08-24,4.2
15304,2022-10-09,3.0
15304,2022-11-03,9.6
17738,2022-12-07,1.56
17738,2022-11-30,0.55
17738,2022-12-14,3.31
17738,2022-12-21,6.29
17738,2022-12-28,8.24
17738,2023-01-04,10.56
17738,2023-01-11,11.75
17738,2023-01-18,15.15
17738,2023-01-25,15.5
18674,2022-06-19,4.5
18674,2022-06-12,2.84
18674,2022-06-26,5.31
18674,2022-07-03,7.21
18674,2022-07-19,10.0
18828,2023-03-29,3.03
18828,2023-04-13,7.0
18828,2023-04-23,9.09
18828,2023-04-18,8.0
15982,2022-10-10,2.31
15982,2022-10-16,4.37
15982,2022-10-22,5.86
15982,2022-10-27,7.59
15982,2022-11-01,8.45
15982,2022-11-06,9.96
15982,2022-11-11,11.53
15982,2022-11-16,13.17
15982,2022-11-22,15.69
15982,2022-11-27,18.53
15982,2022-12-02,21.05
15982,2022-12-06,21.85
15982,2022-12-11,25.5
15982,2022-12-15,27.51
18232,2022-10-30,3.0
18232,2022-11-08,4.4
18232,2022-11-14,5.95
18232,2022-11-20,7.0
18232,2022-11-27,6.84
18232,2022-12-05,6.84
18232,2022-12-14,9.18
18232,2022-12-20,10.8
18924,2022-07-07,9.5
18924,2022-07-14,11.0
18924,2022-07-25,13.5
18924,2022-08-04,17.6
18924,2022-09-02,33.8
16711,2022-05-01,1.24
16711,2022-05-11,2.14
16711,2022-05-21,4.18
16711,2022-05-31,6.25
16711,2022-06-10,8.9
16711,2022-06-20,14.4
17730,2022-10-08,4.02
17730,2022-10-15,6.46
17730,2022-10-22,8.39
17730,2022-10-29,11.9
17730,2022-10-31,11.49
17730,2022-11-07,15.2
17730,2022-11-10,15.38
17730,2022-11-17,18.82
17730,2022-11-23,21.15
17730,2022-11-24,22.22
17730,2022-12-01,25.6
17730,2022-12-08,30.88
17730,2022-12-14,32.72
15502,2022-10-22,3.4
15502,2022-10-29,4.6
15502,2022-11-05,7.1
15502,2022-11-11,10.0
15413,2021-06-28,5.6
15413,2021-06-16,3.6
20658,2022-12-17,2.26
20658,2022-12-24,3.24
20658,2022-12-31,4.99
20658,2023-01-07,6.23
20658,2023-01-08,7.37
20658,2023-01-14,8.58
20658,2023-01-21,8.91
20658,2023-01-28,10.83
20658,2023-02-02,11.34
20658,2023-02-11,12.96
18919,2022-06-08,5.0
17636,2022-08-15,1.65
17636,2022-08-22,3.24
17636,2022-08-29,5.55
17636,2022-09-05,6.93
17636,2022-09-12,9.11
17636,2022-09-18,9.4
17636,2022-09-26,13.79
17636,2022-10-03,14.44
17636,2022-10-10,14.73
17636,2022-10-16,17.04
16294,2022-09-11,1.8
16294,2022-09-19,3.1
16294,2022-09-26,4.5
16294,2022-10-03,5.0
16294,2022-10-10,7.27
16294,2022-10-21,9.5
21026,2023-01-25,2.13
21026,2023-02-01,3.2
21026,2023-02-08,5.1
21026,2023-02-15,6.3
21026,2023-02-21,7.7
21026,2023-02-22,7.7
21026,2023-03-01,10.3
21026,2023-03-15,15.25
21026,2023-03-08,11.5
21026,2023-03-22,15.25
21026,2023-04-12,18.2
21026,2023-04-05,16.4
21026,2023-03-29,16.1
21026,2023-04-19,19.6
21026,2023-04-26,22.1
18877,2022-10-19,0.7
18877,2022-10-26,1.43
18877,2022-11-02,1.8
18877,2022-11-02,1.8
18877,2022-11-09,2.98
18877,2022-11-16,3.52
18877,2022-11-23,5.9
18877,2022-12-07,11.0
18877,2022-11-30,8.37
18877,2022-12-14,12.82
18877,2022-12-21,16.2
18877,2022-12-28,18.81
18877,2023-01-04,20.34
18877,2023-01-11,24.27
18613,2022-04-10,4.05
18613,2022-04-17,6.23
18613,2022-04-24,9.2
18613,2022-05-01,10.53
18613,2022-05-08,12.8
18613,2022-05-10,12.99
19310,2022-09-14,2.25
19310,2022-09-19,2.96
19310,2022-09-24,4.41
19310,2022-09-29,5.24
19310,2022-10-02,5.0
16298,2022-08-11,5.6
16298,2022-08-18,8.8
16298,2022-08-23,9.66
16298,2022-08-31,13.89
16298,2022-09-12,19.25
16298,2022-09-22,25.42
16298,2022-10-06,34.05
17468,2022-09-12,2.4
17468,2022-09-19,4.2
17468,2022-09-26,6.2
17468,2022-10-03,8.2
17468,2022-10-10,12.0
17468,2022-10-17,14.7
19367,2022-12-17,1.85
19367,2022-12-24,2.71
19367,2022-12-31,4.81
19367,2023-01-07,5.42
19367,2023-01-08,6.09
19367,2023-01-14,7.56
16142,2023-07-06,12.5
18989,2021-12-02,2.23
18989,2021-12-09,5.05
